Country,Adj. Default  Spread,Equity Risk  Premium,Country Risk  Premium,Corporate Tax  Rate,Moody's rating
Abu Dhabi,0.49%,4.99%,0.66%,15.00%,Aa2
Albania,3.56%,9.13%,4.80%,15.00%,Ba3
Algeria,2.98%,8.35%,4.02%,15.00%,NR
Andorra  (Principality of),1.58%,6.46%,2.13%,18.98%,Baa1
Angola,6.44%,13.01%,8.68%,25.00%,B3
Anguilla,6.01%,12.44%,8.11%,25.23%,NR
Antigua &  Barbuda,6.01%,12.43%,8.10%,25.23%,NR
Argentina,11.88%,20.35%,16.02%,35.00%,Ca
Armenia,3.56%,9.13%,4.80%,18.00%,Ba3
Aruba,2.18%,7.26%,2.93%,25.00%,Baa3
Australia,0.00%,4.33%,0.00%,30.00%,Aaa
Austria,0.40%,4.86%,0.53%,24.00%,Aa1
Azerbaijan,2.48%,7.67%,3.34%,20.00%,Ba1
Bahamas,4.46%,10.34%,6.01%,0.00%,B1
Bahrain,5.45%,11.67%,7.34%,0.00%,B2
Bangladesh,5.45%,11.67%,7.34%,30.00%,B2
Barbados,6.44%,13.01%,8.68%,5.50%,B3
Belarus,17.50%,27.92%,23.59%,18.00%,C
Belgium,0.59%,5.13%,0.80%,25.00%,Aa3
Belize,7.43%,14.34%,10.01%,28.53%,Caa1
Benin,4.46%,10.34%,6.01%,30.00%,B1
Bermuda,0.84%,5.46%,1.13%,0.00%,A2
Bolivia,9.91%,17.68%,13.35%,25.00%,Caa3
Bosnia and  Herzegovina,6.44%,13.01%,8.68%,10.00%,B3
Botswana,1.19%,5.93%,1.60%,22.00%,A3
Brazil,2.48%,7.67%,3.34%,34.00%,Ba1
British Virgin  Islands,6.01%,12.44%,8.11%,25.23%,NR
Brunei,0.59%,5.13%,0.80%,34.00%,NR
Bulgaria,1.58%,6.46%,2.13%,10.00%,Baa1
Burkina Faso,7.43%,14.34%,10.01%,28.00%,Caa1
Cambodia,5.45%,11.67%,7.34%,20.00%,B2
Cameroon,7.43%,14.34%,10.01%,33.00%,Caa1
Canada,0.00%,4.33%,0.00%,26.50%,Aaa
Cape Verde,5.45%,11.67%,7.34%,0.00%,B2
Cayman Islands,0.59%,5.13%,0.80%,0.00%,Aa3
Channel  Islands,0.83%,5.45%,1.12%,24.78%,NR
Chile,0.84%,5.46%,1.13%,27.00%,A2
China,0.70%,5.27%,0.94%,25.00%,A1
Colombia,1.89%,6.87%,2.54%,35.00%,Baa2
Congo  (Democratic Republic,6.44%,13.01%,8.68%,30.00%,B3
Congo  (Republic of),8.92%,16.35%,12.02%,28.00%,Caa2
Cook Islands,4.46%,10.34%,6.01%,29.74%,B1
Costa Rica,3.56%,9.13%,4.80%,30.00%,Ba3
Croatia,1.19%,5.93%,1.60%,18.00%,A3
Cuba,11.88%,20.35%,16.02%,28.53%,Ca
Curaçao,2.18%,7.26%,2.93%,22.00%,Baa3
Cyprus,1.19%,5.93%,1.60%,12.50%,A3
Czech Republic,0.59%,5.13%,0.80%,19.00%,Aa3
