scenario,country_code,country_name,wacc,risk_free_rate,beta,equity_risk_premium,country_risk_premium,debt_rate,tax_rate,equity_ratio,debt_ratio,wacc_real
mature,ALB,Albania,0.11489250000000001,0.035,2.16125,0.065,0.048,0.05,0.15,0.4,0.6,0.09303186274509812
mature,DZA,Algeria,0.1117725,0.035,2.16125,0.065,0.04019999999999999,0.05,0.15,0.4,0.6,0.08997303921568633
mature,AND,Andorra  (Principality of),0.10154391000000001,0.035,2.104535,0.065,0.0213,0.05,0.1898,0.4,0.6,0.07994500980392161
mature,AGO,Angola,0.12370750000000001,0.035,2.01875,0.065,0.0868,0.05,0.25,0.4,0.6,0.10167401960784317
mature,AIA,Anguilla,0.12127328500000001,0.035,2.0154725,0.065,0.08109999999999999,0.05,0.2523,0.4,0.6,0.09928753431372539
mature,ATG,Antigua &  Barbuda,0.12123328500000002,0.035,2.0154725,0.065,0.081,0.05,0.2523,0.4,0.6,0.09924831862745087
mature,ARG,Argentina,0.1463625,0.035,1.87625,0.065,0.1602,0.05,0.35,0.4,0.6,0.12388480392156853
mature,ARM,Armenia,0.11288100000000001,0.035,2.1185,0.065,0.048,0.05,0.18,0.4,0.6,0.09105980392156865
mature,ABW,Aruba,0.1007075,0.035,2.01875,0.065,0.029300000000000003,0.05,0.25,0.4,0.6,0.07912499999999989
mature,AUS,Australia,0.08563499999999999,0.035,1.9474999999999998,0.065,0.0,0.05,0.3,0.4,0.6,0.0643480392156861
mature,AUT,Austria,0.09177799999999998,0.035,2.0329999999999995,0.065,0.0053,0.05,0.24,0.4,0.6,0.07037058823529407
mature,AZE,Azerbaijan,0.1057,0.035,2.09,0.065,0.0334,0.05,0.2,0.4,0.6,0.08401960784313722
mature,BHS,Bahamas,0.12979000000000002,0.035,2.375,0.065,0.0601,0.05,0.0,0.4,0.6,0.10763725490196085
mature,BHR,Bahrain,0.13511,0.035,2.375,0.065,0.07339999999999999,0.05,0.0,0.4,0.6,0.11285294117647071
mature,BGD,Bangladesh,0.11499499999999999,0.035,1.9474999999999998,0.065,0.07339999999999999,0.05,0.3,0.4,0.6,0.0931323529411765
mature,BRB,Barbados,0.13678225,0.035,2.2966249999999993,0.065,0.0868,0.05,0.055,0.4,0.6,0.11449240196078425
mature,BLR,Belarus,0.188041,0.035,2.1185,0.065,0.2359,0.05,0.18,0.4,0.6,0.16474607843137257
mature,BEL,Belgium,0.0921875,0.035,2.01875,0.065,0.008,0.05,0.25,0.4,0.6,0.07077205882352944
